2020-08-13 19:09:56 [ERROR pid is 0 ,need create
2020-08-14 14:09:25 [ERROR error getting mining info => connection outage...                               
2020-08-19 21:58:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:59:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:00:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:01:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:02:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:03:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:04:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:05:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:06:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:07:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:08:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:09:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:10:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:11:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:12:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:13:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:14:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:15:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:16:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:17:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:18:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:19:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:20:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:21:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:22:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:23:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:24:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:25:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:26:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:27:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:28:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:29:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:30:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:31:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:32:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:33:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:34:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:35:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:36:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:37:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:38:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:39:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:40:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:41:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:42:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
